sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,38,,良好,2.1,0.27,32.7,27.9,25,13,14.8,18.7,3.9,1.4,81,"2024/02/19 16:00:00",0.4,11.6,18,1,121.760056,25.129167,1
汐止,新北市,33,,良好,2.6,0.2,46.4,35.5,19,11,,,,1.7,33,"2024/02/19 16:00:00",0.5,10.3,21,1,121.64081,25.06624,2
萬里,新北市,34,,良好,,,,34.1,,,,,,1.8,329,"2024/02/19 16:00:00",0.3,10.4,34,1,121.689881,25.179667,3
新店,新北市,51,細懸浮微粒,普通,1.7,0.38,79.7,49.8,34,23,14.6,15.8,1.1,2.5,328,"2024/02/19 16:00:00",0.3,15.7,21,1,121.537778,24.977222,4
土城,新北市,66,細懸浮微粒,普通,2.3,0.41,69.7,50.3,162,32,16.6,18.3,1.6,1.1,336,"2024/02/19 16:00:00",0.5,21.7,64,1,121.451861,24.982528,5
板橋,新北市,55,細懸浮微粒,普通,1.6,0.42,66,48.8,47,20,19.5,21.2,1.7,2.3,320,"2024/02/19 16:00:00",0.5,17.2,31,0,121.458667,25.012972,6
新莊,新北市,56,細懸浮微粒,普通,2.1,0.34,63,44.8,30,22,14.4,16.1,1.7,1.4,22,"2024/02/19 16:00:00",0.4,17.4,28,1,121.4325,25.037972,7
菜寮,新北市,54,細懸浮微粒,普通,1.4,0.36,65.2,43.5,35,22,13.4,14.7,1.3,1.6,358,"2024/02/19 16:00:00",0.5,16.9,25,1,121.481028,25.06895,8
林口,新北市,51,細懸浮微粒,普通,1.9,0.28,58.8,45.2,27,,6.6,6.8,0.2,1.2,341,"2024/02/19 16:00:00",0.3,15.5,28,1,121.36548982,25.07798949,9
淡水,新北市,49,,良好,1.8,0.28,64.5,42.2,29,15,10.3,12.1,1.7,,,"2024/02/19 16:00:00",0.4,15.2,25,1,121.449239,25.1645,10
士林,臺北市,50,,良好,1.7,0.27,68.3,45,40,18,11,12.8,1.7,1.7,334,"2024/02/19 16:00:00",0.3,15.3,30,1,121.51666356,25.10334003,11
中山,臺北市,61,細懸浮微粒,普通,2.5,0.56,51.9,41.5,40,25,31.6,38.3,6.6,1.6,348,"2024/02/19 16:00:00",0.5,19.7,31,1,121.526528,25.062361,12
萬華,臺北市,59,細懸浮微粒,普通,1.7,0.5,62.6,46.9,39,24,23.6,25.9,2.3,1.5,304,"2024/02/19 16:00:00",0.5,18.7,29,1,121.507972,25.046503,13
古亭,臺北市,50,,良好,1.5,0.39,67,46.2,60,27,18,19.5,1.4,1.8,314,"2024/02/19 16:00:00",0.3,15.3,30,1,121.529556,25.020608,14
松山,臺北市,53,細懸浮微粒,普通,0.8,0.24,,32.6,21,16,11.2,13.1,1.8,1.5,18,"2024/02/19 16:00:00",0.5,16.2,23,0,121.578611,25.05,15
大同,臺北市,69,細懸浮微粒,普通,1.9,0.7,53.7,30.7,41,26,26.1,30,3.8,-,-,"2024/02/19 16:00:00",1.4,22.8,33,1,121.51342074,25.06331455,16
桃園,桃園市,61,細懸浮微粒,普通,2.7,0.34,60.2,45,40,23,15.1,16.8,1.6,2,312,"2024/02/19 16:00:00",0.4,19.5,35,2,121.30500531,24.9947107,17
大園,桃園市,61,細懸浮微粒,普通,3.7,0.36,,37.4,44,23,19.1,21.5,2.4,2.5,344,"2024/02/19 16:00:00",0.4,19.6,38,2,121.20251473,25.06100357,18
觀音,桃園市,67,細懸浮微粒,普通,1.9,0.2,61.2,48,28,25,8.5,9.4,0.8,2.3,250,"2024/02/19 16:00:00",0.2,22.2,30,1,121.08283092,25.03556747,19
平鎮,桃園市,40,,良好,1.7,0.23,53.1,43.7,30,11,9.8,10.6,0.8,2.8,276,"2024/02/19 16:00:00",0.3,12.3,25,1,121.203986,24.952786,20
龍潭,桃園市,43,,良好,1.8,0.28,61.6,45.8,30,18,11.2,12.2,0.9,3.1,273,"2024/02/19 16:00:00",0.2,13.3,24,1,121.21645772,24.86400048,21
湖口,新竹縣,76,細懸浮微粒,普通,2.4,0.22,55.6,49.9,31,,5.9,6.7,0.7,2.5,251,"2024/02/19 16:00:00",0.2,25.5,31,1,121.03886894,24.90009696,22
竹東,新竹縣,57,細懸浮微粒,普通,1.4,0.24,59.2,47.5,28,25,7,7.8,0.7,2.3,258,"2024/02/19 16:00:00",0.2,17.8,26,0,121.08895493,24.74091408,23
新竹,新竹市,64,細懸浮微粒,普通,2.2,0.27,53.5,40.7,29,22,10.1,10.9,0.7,0.7,267,"2024/02/19 16:00:00",0.3,20.7,28,1,120.97236752,24.8056356,24
頭份,苗栗縣,66,細懸浮微粒,普通,2.6,0.2,46.9,41.5,29,13,5.2,7.4,2.2,2.6,294,"2024/02/19 16:00:00",0.3,21.4,32,2,120.89869286,24.69690679,25
苗栗,苗栗縣,41,,良好,2.5,0.16,46.8,42.8,34,11,5.8,7.1,1.3,3.5,242,"2024/02/19 16:00:00",0.1,12.5,28,1,120.82011468,24.56499183,26
三義,苗栗縣,40,,良好,1.7,0.22,49.8,43.9,26,9,4.8,6.4,1.6,3.2,207,"2024/02/19 16:00:00",0.1,8.4,18,1,120.75956754,24.38248443,27
豐原,臺中市,48,,良好,2.4,0.26,52.4,41.7,27,20,6.1,8.5,2.4,3.2,203,"2024/02/19 16:00:00",0.3,14.7,21,1,120.74252414,24.25699731,28
沙鹿,臺中市,44,,良好,0.7,0.14,37.2,39,27,10,4.7,5.7,0.9,3.3,237,"2024/02/19 16:00:00",0.1,13.5,29,1,120.568794,24.225628,29
大里,臺中市,53,細懸浮微粒,普通,1.2,0.23,45.6,34.7,31,17,4.9,6.3,1.3,3.6,265,"2024/02/19 16:00:00",0.2,16.5,23,1,120.67844444,24.09961111,30
忠明,臺中市,55,細懸浮微粒,普通,1.7,0.24,42.7,30.7,38,19,9.2,12,2.7,1.8,275,"2024/02/19 16:00:00",0.3,17.2,39,2,120.641092,24.151958,31
西屯,臺中市,53,細懸浮微粒,普通,2,0.17,43.1,32.5,34,15,5.8,7.7,1.9,2.9,247,"2024/02/19 16:00:00",0.2,16.2,27,1,120.616917,24.162197,32
彰化,彰化縣,37,,良好,1.3,0.18,35.5,40.2,25,6,8.1,9.6,1.5,2,270,"2024/02/19 16:00:00",0.2,10,24,1,120.541519,24.066,33
線西,彰化縣,38,,良好,1,0.13,28.3,31.2,21,6,4.9,6.2,1.3,4.9,247,"2024/02/19 16:00:00",0.2,11.8,27,1,120.469061,24.131672,34
二林,彰化縣,62,細懸浮微粒,普通,3.2,0.17,33.2,36.5,37,16,5.3,7.5,2.1,3.7,266,"2024/02/19 16:00:00",0.2,19.8,43,2,120.409653,23.925175,35
南投,南投縣,39,,良好,1.2,0.23,56.8,38.4,31,14,4.3,5.9,1.6,1.8,280,"2024/02/19 16:00:00",0.2,12,24,0,120.685306,23.913,36
斗六,雲林縣,35,,良好,1.2,0.2,43.1,38.9,24,8,4.2,6.6,2.3,1.9,252,"2024/02/19 16:00:00",0.2,8.9,24,1,120.544994,23.711853,37
崙背,雲林縣,42,,良好,0.9,0.14,32.7,31.6,31,10,2.1,2.9,0.8,1.8,261,"2024/02/19 16:00:00",0.2,12.8,32,1,120.348742,23.757547,38
新港,嘉義縣,42,,良好,,,33.9,32.3,27,10,,,,2.7,244,"2024/02/19 16:00:00",0.2,12.8,33,1,120.345531,23.554839,39
朴子,嘉義縣,36,,良好,1.4,0.21,29.4,30.9,17,10,3.3,4.9,1.5,2,230,"2024/02/19 16:00:00",0.2,11.2,21,1,120.2478,23.46538,40
臺西,雲林縣,34,,良好,0,0.13,31.6,28.4,19,4,4.1,5.5,1.4,3.4,226,"2024/02/19 16:00:00",0.1,10.4,27,1,120.19933333,23.702175,41
嘉義,嘉義市,33,,良好,1.1,0.16,36,36.5,23,7,3.1,4.5,1.3,3.3,253,"2024/02/19 16:00:00",0.1,7.8,18,1,120.44125148,23.46477865,42
新營,臺南市,32,,良好,1.3,0.17,29.6,35.7,28,,,,,2.5,272,"2024/02/19 16:00:00",0.2,7.7,24,2,120.31725,23.305633,43
善化,臺南市,34,,良好,0.8,0.11,35.6,37.4,13,13,3.7,5.3,1.6,2.6,243,"2024/02/19 16:00:00",0.1,8.5,16,1,120.29740529,23.11337642,44
安南,臺南市,32,,良好,1,0.17,32.2,31.1,39,7,3.5,4.1,0.5,3.3,239,"2024/02/19 16:00:00",0.2,9.8,32,1,120.2175,23.048197,45
臺南,臺南市,31,,良好,0.9,0.15,32.4,32.4,19,11,5.8,7,1.1,3,210,"2024/02/19 16:00:00",0.2,9.5,21,1,120.21947897,22.98928311,46
美濃,高雄市,42,,良好,1.6,0.21,60.1,45,28,12,4.9,6.1,1.2,2.9,224,"2024/02/19 16:00:00",0.1,7.9,27,0,120.530542,22.883583,47
橋頭,高雄市,29,,良好,0.8,0.13,28.6,30.1,,8,6.1,8.3,2.2,4.2,240,"2024/02/19 16:00:00",0.2,9,26,2,120.305689,22.757506,48
仁武,高雄市,38,,良好,1,0.19,28.2,28.7,21,7,11.5,13.6,2.1,3.4,238,"2024/02/19 16:00:00",0.3,11.7,25,2,120.332631,22.689056,49
鳳山,高雄市,26,,良好,1.3,0.32,25.3,25.5,20,6,11.2,16,4.8,1.1,223,"2024/02/19 16:00:00",0.4,6.7,26,1,120.357422,22.628126,50
大寮,高雄市,32,,良好,0.8,0.13,29.8,28.2,26,9,4.5,5.8,1.3,1.8,195,"2024/02/19 16:00:00",0.1,10,24,2,120.425311,22.56413611,51
林園,高雄市,28,,良好,0.5,0.11,28.8,30.7,15,7,2.3,2.6,0.2,2.3,217,"2024/02/19 16:00:00",0.1,7.5,22,0,120.41175,22.4795,52
楠梓,高雄市,35,,良好,1,0.16,30.2,28.7,33,7,7.2,8.5,1.3,2.6,217,"2024/02/19 16:00:00",0.3,10,35,2,120.328289,22.733667,53
左營,高雄市,35,,良好,1.5,0.16,27.9,24.4,16,11,7.4,9.4,2,3.3,212,"2024/02/19 16:00:00",0.3,10.7,21,3,120.292917,22.674861,54
